"Freq [GHz]"	"dB(S(1,1)) []"
2	-0.0384583680691524
2.01	-0.0386067033436502
2.02	-0.0387548252183635
2.03	-0.0389027451562603
2.04	-0.0390504745364578
2.05	-0.0391980246549704
2.06	-0.0393454067255109
2.07	-0.0394926318802553
2.08	-0.0396397111707444
2.09	-0.0397866555686878
2.1	-0.0399334759668463
2.11	-0.0400801831799696
2.12	-0.0402267879456967
2.13	-0.0403733009255051
2.14	-0.0405197327056625
2.15	-0.0406660937981881
2.16	-0.0408123946418588
2.17	-0.0409586456032159
2.18	-0.0411048569775453
2.19	-0.0412510389899099
2.2	-0.0413972017962158
2.21	-0.0415433554841893
2.22	-0.041689510074456
2.23	-0.0418356755216263
2.24	-0.041981861715308
2.25	-0.0421280784811674
2.26	-0.0422743355820214
2.27	-0.042420642718937
2.28	-0.0425670095322252
2.29	-0.0427134456026076
2.3	-0.0428599604522143
2.31	-0.0430065635457401
2.32	-0.0431532642914292
2.33	-0.0433000720422759
2.34	-0.0434469960969967
2.35	-0.0435940457011723
2.36	-0.0437412300482755
2.37	-0.0438885582808037
2.38	-0.0440360394912863
2.39	-0.0441836827234451
2.4	-0.0443314969731295
2.41	-0.0444794911895255
2.42	-0.0446276742761089
2.43	-0.0447760550917479
2.44	-0.044924642451768
2.45	-0.0450734451289442
2.46	-0.0452224718546266
2.47	-0.0453717313197086
2.48	-0.0455212321757083
2.49	-0.045670983035769
2.5	-0.0458209924757082
2.51	-0.0459712690350164
2.52	-0.0461218212178992
2.53	-0.0462726574942608
2.54	-0.0464237863007142
2.55	-0.0465752160416059
2.56	-0.0467269550899734
2.57	-0.0468790117885338
2.58	-0.0470313944507176
2.59	-0.0471841113615725
2.6	-0.0473371707788
2.61	-0.0474905809336395
2.62	-0.0476443500319508
2.63	-0.047798486255032
2.64	-0.04795299776065
2.65	-0.0481078926839543
2.66	-0.0482631791384419
2.67	-0.0484188652168451
2.68	-0.0485749589920732
2.69	-0.048731468518144
2.7	-0.0488884018310846
2.71	-0.0490457669498461
2.72	-0.0492035718771851
2.73	-0.049361824600583
2.74	-0.0495205330931416
2.75	-0.0496797053144377
2.76	-0.0498393492114326
2.77	-0.049999472719336
2.78	-0.0501600837624746
2.79	-0.0503211902551585
2.8	-0.0504828001025298
2.81	-0.0506449212014478
2.82	-0.0508075614412893
2.83	-0.0509707287048458
2.84	-0.0511344308691442
2.85	-0.0512986758062488
2.86	-0.0514634713841413
2.87	-0.0516288254675114
2.88	-0.05179474591861
2.89	-0.051961240598031
2.9	-0.0521283173655619
2.91	-0.0522959840809488
2.92	-0.0524642486047488
2.93	-0.0526331187990876
2.94	-0.0528026025284953
2.95	-0.0529727076606698
2.96	-0.0531434420672774
2.97	-0.0533148136247449
2.98	-0.0534868302150262
2.99	-0.0536594997263985
3	-0.0538328300542392
