Freq [GHz];dB(S(1,1)) (Real);dB(S(1,1)) (Imag)
2.0;-0.03845836806915243;0.0
2.01;-0.03860670334365019;0.0
2.02;-0.03875482521836353;0.0
2.03;-0.038902745156260334;0.0
2.04;-0.03905047453645783;0.0
2.05;-0.03919802465497043;0.0
2.06;-0.03934540672551093;0.0
2.07;-0.03949263188025535;0.0
2.08;-0.03963971117074445;0.0
2.09;-0.03978665556868776;0.0
2.1;-0.03993347596684626;0.0
2.11;-0.04008018317996958;0.0
2.12;-0.04022678794569668;0.0
2.13;-0.04037330092550508;0.0
2.14;-0.04051973270566249;0.0
2.15;-0.04066609379818807;0.0
2.16;-0.04081239464185881;0.0
2.17;-0.04095864560321591;0.0
2.18;-0.04110485697754533;0.0
2.19;-0.04125103898990994;0.0
2.2;-0.041397201796215755;0.0
2.21;-0.04154335548418931;0.0
2.22;-0.04168951007445598;0.0
2.23;-0.04183567552162634;0.0
2.24;-0.04198186171530804;0.0
2.25;-0.042128078481167425;0.0
2.26;-0.04227433558202136;0.0
2.27;-0.04242064271893698;0.0
2.28;-0.04256700953222516;0.0
2.29;-0.042713445602607564;0.0
2.3;-0.042859960452214345;0.0
2.31;-0.043006563545740076;0.0
2.32;-0.043153264291429176;0.0
2.33;-0.04330007204227593;0.0
2.34;-0.04344699609699672;0.0
2.35;-0.04359404570117225;0.0
2.36;-0.04374123004827553;0.0
2.37;-0.043888558280803736;0.0
2.38;-0.04403603949128626;0.0
2.39;-0.044183682723445084;0.0
2.4;-0.04433149697312953;0.0
2.41;-0.04447949118952546;0.0
2.42;-0.04462767427610888;0.0
2.43;-0.04477605509174787;0.0
2.44;-0.044924642451767985;0.0
2.45;-0.04507344512894419;0.0
2.46;-0.04522247185462662;0.0
2.47;-0.0453717313197086;0.0
2.48;-0.045521232175708304;0.0
2.49;-0.045670983035769025;0.0
2.5;-0.04582099247570825;0.0
2.51;-0.04597126903501636;0.0
2.52;-0.046121821217899234;0.0
2.53;-0.04627265749426083;0.0
2.54;-0.04642378630071418;0.0
2.55;-0.046575216041605944;0.0
2.56;-0.046726955089973446;0.0
2.57;-0.046879011788533764;0.0
2.58;-0.0470313944507176;0.0
2.59;-0.047184111361572516;0.0
2.6;-0.04733717077879998;0.0
2.61;-0.047490580933639524;0.0
2.62;-0.04764435003195078;0.0
2.63;-0.04779848625503198;0.0
2.64;-0.04795299776065003;0.0
2.65;-0.04810789268395427;0.0
2.66;-0.04826317913844192;0.0
2.67;-0.0484188652168451;0.0
2.68;-0.048574958992073224;0.0
2.69;-0.04873146851814403;0.0
2.7;-0.04888840183108458;0.0
2.71;-0.04904576694984614;0.0
2.72;-0.049203571877185104;0.0
2.73;-0.04936182460058304;0.0
2.74;-0.04952053309314157;0.0
2.75;-0.04967970531443772;0.0
2.76;-0.049839349211432626;0.0
2.77;-0.04999947271933604;0.0
2.78;-0.05016008376247459;0.0
2.79;-0.050321190255158486;0.0
2.8;-0.050482800102529785;0.0
2.81;-0.05064492120144783;0.0
2.82;-0.05080756144128933;0.0
2.83;-0.05097072870484577;0.0
2.84;-0.05113443086914418;0.0
2.85;-0.05129867580624878;0.0
2.86;-0.051463471384141334;0.0
2.87;-0.05162882546751142;0.0
2.88;-0.051794745918609955;0.0
2.89;-0.05196124059803104;0.0
2.9;-0.052128317365561935;0.0
2.91;-0.05229598408094879;0.0
2.92;-0.05246424860474882;0.0
2.93;-0.052633118799087636;0.0
2.94;-0.052802602528495286;0.0
2.95;-0.05297270766066976;0.0
2.96;-0.05314344206727741;0.0
2.97;-0.05331481362474494;0.0
2.98;-0.05348683021502622;0.0
2.99;-0.05365949972639847;0.0
3.0;-0.05383283005423918;0.0
